id;house_number;street;apartment_number;city;state;zip
1;2338;"uXblB Blvd_";6290;"Cwiato";"NC";"19977"
2;19729;"oJMs SqQ";29935;"AZJUn";"hH";"30046"
3;27486;"vCJaux Cir+";4415;"e";"ST";"81067"
4;6231;"VBVIRS Cir'";11433;"gPFf";"Wu";"45264"
5;946;"uDldN Drc";2789;"hub";"bg";"74174"
6;28891;"bO Blvd%";30733;"J";"Vi";"13018"
7;14029;"RJrq Rdo";29846;"tot";"Kj";"91333"
8;22469;"Kk Blvd-";21607;"vwyED";"Bo";"59720"
9;20461;"AIl Dru";26448;"RFmrOB";"rF";"32833"
10;7834;"Danz Dr$";2563;"f";"FH";"42803"
